text,type,category,severity
Please arrange to fix the stagnant water causing disease in Perambur,Request,Health,Low
"There is a street light not working in Guindy for the past 4 days, causing inconvenience",Complaint,Electricity,High
Please arrange to fix the road collapse in Adyar,Request,Road,Low
It would be better if authorities improve the pipe burst situation in Adyar,Suggestion,Water,Low
It would be better if authorities improve the water leakage situation in Tambaram,Suggestion,Water,Low
"There is a road collapse in T Nagar for the past 3 days, causing inconvenience",Complaint,Road,High
"There is a dirty water in Velachery for the past 4 days, causing inconvenience",Complaint,Water,High
"There is a traffic congestion in Anna Nagar for the past 5 days, causing inconvenience",Complaint,Transport,High
Please arrange to fix the road collapse in T Nagar,Request,Road,Low
Please arrange to fix the drainage overflow in Tambaram,Request,Drainage,Low
"There is a dirty water in Guindy for the past 4 days, causing inconvenience",Complaint,Water,High
"There is a road collapse in Velachery, causing inconvenience",Complaint,Road,High
"There is a public toilet unclean in Velachery for the past 2 days, causing inconvenience",Complaint,Health,Medium
"There is a bad smell from waste in Velachery for the past 5 days, causing inconvenience",Complaint,Garbage,High
"There is a traffic congestion in Tambaram for the past 1 days, causing inconvenience",Complaint,Transport,Low
Please arrange to fix the mosquito problem in Perambur,Request,Health,Low
"There is a stagnant water causing disease in Perambur for the past 2 days, causing inconvenience",Complaint,Health,Medium
It would be better if authorities improve the pothole situation in T Nagar,Suggestion,Road,Low
Please arrange to fix the street light not working in Guindy,Request,Electricity,Low
It would be better if authorities improve the road collapse situation in Tambaram,Suggestion,Road,Low
It would be better if authorities improve the traffic congestion situation in Guindy,Suggestion,Transport,Low
"There is a road damage in Perambur, causing inconvenience",Complaint,Road,Low
Please arrange to fix the damaged bus stop in Perambur,Request,Transport,Low
"There is a pipe burst in Adyar for the past 5 days, causing inconvenience",Complaint,Water,High
"There is a road damage in Perambur for the past 1 days, causing inconvenience",Complaint,Road,Low
"There is a bad smell from waste in Anna Nagar for the past 1 days, causing inconvenience",Complaint,Garbage,Low
It would be better if authorities improve the pothole situation in Anna Nagar,Suggestion,Road,Low
Please arrange to fix the bad smell from waste in Anna Nagar,Request,Garbage,Low
Please arrange to fix the overflowing dustbin in Guindy,Request,Garbage,Low
"There is a drainage overflow in Tambaram for the past 3 days, causing inconvenience",Complaint,Drainage,High
Please arrange to fix the no water supply in T Nagar,Request,Water,Low
"There is a bad smell from waste in T Nagar for the past 1 days, causing inconvenience",Complaint,Garbage,Low
"There is a bad smell from waste in Perambur for the past 4 days, causing inconvenience",Complaint,Garbage,High
"There is a damaged bus stop in Perambur for the past 2 days, causing inconvenience",Complaint,Transport,Medium
"There is a road collapse in Anna Nagar for the past 1 days, causing inconvenience",Complaint,Road,High
It would be better if authorities improve the traffic congestion situation in Anna Nagar,Suggestion,Transport,Low
"There is a blocked drainage in Tambaram for the past 3 days, causing inconvenience",Complaint,Drainage,High
"There is a blocked drainage in Guindy for the past 5 days, causing inconvenience",Complaint,Drainage,High
It would be better if authorities improve the road damage situation in T Nagar,Suggestion,Road,Low
"There is a damaged bus stop in Velachery for the past 1 days, causing inconvenience",Complaint,Transport,Low
